experiment_number,timestamp,mode,parameters,dataset_size,train_test_split,episodes,train_return,test_return,train_sharpe,test_sharpe,test_max_drawdown,buy_hold_return,final_test_value,notes
1,2026-08-07T13:22:02,train,"{""algorithm"": ""DQN"", ""network"": ""MLP(12, 64, 64, 3)"", ""lr"": 0.001, ""gamma"": 0.99, ""batch_size"": 64, ""buffer"": 20000, ""epsilon_start"": 1.0, ""epsilon_end"": 0.05, ""epsilon_decay"": 0.97, ""target_update"": 200, ""l2"": 0.0001, ""transaction_cost"": 0.001, ""seed"": 42, ""error_function"": ""MSE (Bellman TD)""}",4144,80:20 chronological,35,-57.31%,21.64%,-0.649,0.694,-11.32%,85.96%,12163.89,"Baseline: hidden=64-64, lr=1e-3, gamma=0.99"
2,2026-08-07T13:22:46,train,"{""algorithm"": ""DQN"", ""network"": ""MLP(12, 128, 64, 3)"", ""lr"": 0.0005, ""gamma"": 0.99, ""batch_size"": 64, ""buffer"": 20000, ""epsilon_start"": 1.0, ""epsilon_end"": 0.05, ""epsilon_decay"": 0.97, ""target_update"": 200, ""l2"": 0.0001, ""transaction_cost"": 0.001, ""seed"": 42, ""error_function"": ""MSE (Bellman TD)""}",4144,80:20 chronological,35,-5.61%,-5.47%,-0.001,-0.224,-14.19%,85.96%,9452.61,"Wider net: hidden=128-64, lr=5e-4"
3,2026-08-07T13:23:26,train,"{""algorithm"": ""DQN"", ""network"": ""MLP(12, 64, 64, 3)"", ""lr"": 0.001, ""gamma"": 0.995, ""batch_size"": 64, ""buffer"": 20000, ""epsilon_start"": 1.0, ""epsilon_end"": 0.05, ""epsilon_decay"": 0.985, ""target_update"": 200, ""l2"": 0.0001, ""transaction_cost"": 0.001, ""seed"": 42, ""error_function"": ""MSE (Bellman TD)""}",4144,80:20 chronological,35,-40.51%,15.94%,-0.422,0.546,-8.03%,85.96%,11593.53,"Higher discount gamma=0.995, slower epsilon decay"
4,2026-08-07T13:24:06,train,"{""algorithm"": ""DQN"", ""network"": ""MLP(12, 64, 64, 3)"", ""lr"": 0.0001, ""gamma"": 0.99, ""batch_size"": 64, ""buffer"": 20000, ""epsilon_start"": 1.0, ""epsilon_end"": 0.05, ""epsilon_decay"": 0.97, ""target_update"": 200, ""l2"": 0.001, ""transaction_cost"": 0.001, ""seed"": 42, ""error_function"": ""MSE (Bellman TD)""}",4144,80:20 chronological,35,-63.85%,10.61%,-0.835,0.370,-7.68%,85.96%,11061.34,"Lower LR=1e-4, stronger L2=1e-3"
5,2026-08-07T13:25:02,train,"{""algorithm"": ""DQN"", ""network"": ""MLP(12, 64, 64, 3)"", ""lr"": 0.001, ""gamma"": 0.99, ""batch_size"": 64, ""buffer"": 20000, ""epsilon_start"": 1.0, ""epsilon_end"": 0.05, ""epsilon_decay"": 0.97, ""target_update"": 150, ""l2"": 0.0001, ""transaction_cost"": 0.001, ""seed"": 42, ""error_function"": ""MSE (Bellman TD)""}",4144,80:20 chronological,50,-57.20%,32.88%,-0.641,1.017,-7.18%,85.96%,13288.18,"Primary final: 64-64, lr=1e-3, eps_decay=0.97, 50 episodes"
6,2026-08-07T13:27:15,train,"{""algorithm"": ""DQN"", ""network"": ""MLP(12, 64, 64, 3)"", ""lr"": 0.001, ""gamma"": 0.99, ""batch_size"": 64, ""buffer"": 20000, ""epsilon_start"": 1.0, ""epsilon_end"": 0.02, ""epsilon_decay"": 0.965, ""target_update"": 100, ""l2"": 0.0001, ""transaction_cost"": 0.001, ""seed"": 42, ""error_function"": ""MSE (Bellman TD)""}",4144,80:20 chronological,60,62.62%,31.77%,0.405,0.892,-9.20%,85.96%,13176.68,"Final Double-DQN: reward_scale=100, best-val checkpoint, 60 episodes"
